Date,DAX,SPY,BAC,JNJ,AAPL,VWAGY
2017-01-13,11629.179688,208.534164,20.880302,101.094093,28.053429,15.25009
2017-01-17,11540.0,207.799423,20.009155,101.332268,28.279673,14.983796
2017-01-18,11599.389648,208.258621,20.535469,101.182327,28.277311,14.893446
2017-01-19,11596.889648,207.487137,20.444729,100.741241,28.227821,15.072243
2017-01-20,11630.129883,208.249451,20.544548,100.697144,28.279673,15.199208
2017-01-23,11545.75,207.70755,20.471954,100.485428,28.298521,15.81121
2017-01-24,11594.94043,209.039352,20.825857,98.588814,28.272596,15.972889
2017-01-25,11806.049805,210.848679,21.206984,99.506241,28.722713,16.044216
2017-01-26,11848.629883,210.628265,21.270502,98.659363,28.736858,15.825474
2017-01-27,11814.269531,210.297592,21.197905,100.01786,28.73921,15.547292
2017-01-30,11681.889648,208.993393,20.825857,99.79734,28.663801,15.16925
2017-01-31,11535.30957,208.975021,20.544548,99.903191,28.597815,15.2596
2017-02-01,11659.5,209.057678,20.771412,99.885559,30.341724,15.321419
2017-02-02,11627.950195,209.195465,20.617142,100.185493,30.289883,15.183517
2017-02-03,11651.490234,210.637436,21.134386,100.247238,30.419498,15.281475
2017-02-06,11509.839844,210.260864,20.980127,100.03553,30.704649,14.883935
2017-02-07,11549.44043,210.270035,20.780483,100.106102,30.996874,14.850649
2017-02-08,11543.379883,210.545578,20.571772,100.03553,31.117056,14.698481
2017-02-09,11642.860352,211.794662,20.980127,100.635368,31.341915,14.584354
2017-02-10,11666.969727,212.630447,20.943823,101.658669,31.270905,14.816887
2017-02-13,11774.429688,213.787735,21.234205,102.223251,31.547823,15.0789
2017-02-14,11771.80957,214.641846,21.833117,102.646675,31.957304,15.159739
2017-02-15,11793.929688,215.762375,22.304989,103.387665,32.073269,15.08841
2017-02-16,11757.240234,215.578705,22.304989,104.163979,32.0354,14.988551
2017-02-17,11757.019531,215.918518,22.250547,104.852036,32.122974,14.679461
2017-02-21,11967.490234,217.204391,22.486479,105.557777,32.354927,14.88869
2017-02-22,11998.589844,217.011459,22.495554,105.434265,32.451969,14.634285
2017-02-23,11947.830078,217.158447,22.304989,107.357346,32.314697,14.698481
